날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-07-10,쿠팡,1,쿠팡,LG 울트라PC 15U560 6세대 i5 지포스940M 15.6인치 윈도우10,LG전자,I5,integrated,,,,15.6인치,,298000,298000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=6359373947&itemId=13418949659&vendorItemId=95217544143&traceid=V0-153-7d8369939570924a&requestid=20260710090911311263396072&token=31850C%7CMIXED
2026-07-10,쿠팡,2,쿠팡,"LG전자 2026 그램 AI 15 코어 Ultra5, 에센스 화이트, 15ZB90S-GA5CK, 512GB, 16GB, WIN11 Home",LG전자,,integrated,512GB,,WIN 11 HOME,,,2289000,2289000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9293544281&itemId=28618637833&vendorItemId=95561904114&traceid=V0-153-4309c13e1ac6099c&clickBeacon=93df2460-7bf3-11f1-8e94-b7db0d51c1b4%7E3&requestid=20260710090911311263396072&token=31850C%7CMIXED
2026-07-10,쿠팡,3,쿠팡,"LG 그램15 코어i5 FHD 윈도우11 화이트 (코어i5-1135G7/16G/SSD512G 듀얼 [SSD256G + SSD256G]/15.6"" IPS FHD/윈11), GRAM15, WIN11 Home, 16GB, 512GB, 화이트",LG전자,,integrated,16GB,512GB,WIN 11 HOME,"15.6""",,898000,898000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9608130050&itemId=28684284346&vendorItemId=95625818567&traceid=V0-153-78994b7f297defa7&clickBeacon=93df2460-7bf3-11f1-9a66-99868846ef20%7E3&requestid=20260710090911311263396072&token=31850C%7CMIXED
2026-07-10,쿠팡,4,쿠팡,"LG전자 2026 그램 AI 14 코어 Ultra5, 에센스 화이트, 14ZB90S-GA5PK, 512GB, 16GB, WIN11 Home",LG전자,,integrated,512GB,,WIN 11 HOME,,,2139000,2139000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9587163867&itemId=28618637933&vendorItemId=95561904197&traceid=V0-153-5fe5805da95968fa&clickBeacon=93df2460-7bf3-11f1-b8cf-ebff57bf2352%7E3&requestid=20260710090911311263396072&token=31850C%7CMIXED
2026-07-10,쿠팡,5,쿠팡,"JUMPER 노트북 2-in-1 16인치 접이식 터치스크린 N5095 프로세서 지문인식 WiFi6 Windows 11 home, 회색, J1 NY02, 128GB, 4GB, WIN11 Home",,N5095,integrated,128GB,,WIN 11 HOME,16인치,,453000,453000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9593936717&itemId=28644193970&vendorItemId=94932042153&traceid=V0-153-1e6110414280ce3d&clickBeacon=93df2460-7bf3-11f1-8a16-eb917dc89e7b%7E3&requestid=20260710090911311263396072&token=31850C%7CMIXED
2026-07-10,쿠팡,6,쿠팡,LG 울트라PC 15U560 6세대 코어i5 8GB SSD128GB Win10,LG전자,,integrated,8GB,128GB,Windows,,,229000,229000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=6431886792&itemId=13884262431&vendorItemId=93588416244&traceid=V0-153-eaa87aceb7dd441e&requestid=20260710090911311263396072&token=31850C%7CMIXED
2026-07-10,쿠팡,7,쿠팡,베이직스 2024 베이직북 14 N-시리즈,Basics,,integrated,,,,,,563000,563000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9128826497&itemId=26858848404&vendorItemId=92984476751&traceid=V0-153-2bd89178e148d112&requestid=20260710090911311263396072&token=31850C%7CMIXED
2026-07-10,쿠팡,8,쿠팡,삼성노트북 6세대 코어i5 블랙 사무용 8GB 128GB NT371B5L,삼성전자,,integrated,8GB,128GB,,,,229550,229550,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8717120207&itemId=25318773994&vendorItemId=95256984502&traceid=V0-153-d2c6658c84770649&requestid=20260710090911311263396072&token=31850C%7CMIXED
2026-07-10,쿠팡,9,쿠팡,LG 2020 그램15 15ZB995 10세대 i5 RAM 16GB SSD탑재 윈도우11설치 15인치 중고노트북,LG전자,I5,integrated,16GB,,,15인치,,733000,733000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9385445604&itemId=27862969553&vendorItemId=95174371235&traceid=V0-153-6520cdb84378311d&requestid=20260710090911311263396072&token=31850C%7CMIXED
2026-07-10,쿠팡,10,쿠팡,노트북 인텔 i3 16GB RAM 512GB SSD 16.1인치 FHD 사무용 인강용 학생용 가성비 노트북,,I3,integrated,16GB,512GB,,16.1인치,,479990,479990,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9485573012&itemId=28246356362&vendorItemId=95199818673&traceid=V0-153-b131ef8c097de4e5&requestid=20260710090911311263396072&token=31850C%7CMIXED
