날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-07-18,쿠팡,1,쿠팡,"[풀박스패키지] LG그램 코어i5 +무상AS 1년(전시몰닷컴), 화이트, 16Z90P_NP, 512GB, 16GB, WIN11 Pro",LG전자,,integrated,512GB,,WIN 11 HOME,,,1199000,1199000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9638752356&itemId=28798268195&vendorItemId=94827088859&traceid=V0-153-d1864c0a3f1da837&clickBeacon=06caee80-823b-11f1-a57b-3a7b274ac379%7E3&requestid=20260718085545360255016825&token=31850C%7CMIXED
2026-07-18,쿠팡,2,쿠팡,"HP 2025 VICTUS 15 GAMING LAPTOP 15.6 라이젠9 라이젠 8000시리즈 지포스 RTX 4060, Mica Silver, 512GB, 16GB, Free DOS, 15-fb3001AX",HP,라이젠9,RTX 4060,512GB,,FreeDOS,,,1599000,1599000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8512549241&itemId=24641516609&vendorItemId=91652297692&traceid=V0-153-f07d5d4c9327f511&clickBeacon=06caee80-823b-11f1-b139-b54d6a7b7f1d%7E3&requestid=20260718085545360255016825&token=31850C%7CMIXED
2026-07-18,쿠팡,3,쿠팡,"LG 그램15 코어i5 FHD 윈도우11 화이트 (코어i5-1135G7/16G/SSD512G 듀얼 [SSD256G + SSD256G]/15.6"" IPS FHD/윈11), GRAM15, WIN11 Home, 16GB, 512GB, 화이트",LG전자,,integrated,16GB,512GB,WIN 11 HOME,"15.6""",,898000,898000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9608130050&itemId=28684284346&vendorItemId=95625818567&traceid=V0-153-78994b7f297defa7&clickBeacon=06cb1590-823b-11f1-89e0-a964ac4a558d%7E3&requestid=20260718085545360255016825&token=31850C%7CMIXED
2026-07-18,쿠팡,4,쿠팡,"JUMPER 2026 노트북 2-in-1 15.6인치 접이식 터치스크린 i3 프로세서 지문인식 WiFi6 Windows 11 home, 흑요색, J1, 128GB, 8GB, WIN11 Home",,I3,integrated,128GB,,WIN 11 HOME,15.6인치,,633000,633000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9626507609&itemId=28749676428&vendorItemId=95503871947&traceid=V0-153-b115009aa61942ba&clickBeacon=06cb1590-823b-11f1-9b51-ade964fdc4ac%7E3&requestid=20260718085545360255016825&token=31850C%7CMIXED
2026-07-18,쿠팡,5,쿠팡,"JUMPER 2026 노트북 2-in-1 15.6인치 접이식 터치스크린 i3 프로세서 8GB RAM 지문인식 WiFi6 Windows 11 home, 검정색, JUMPER J1 SEUN2011, 128GB, 8GB, WIN11 Home",,I3,integrated,8GB,128GB,WIN 11 HOME,15.6인치,,583700,583700,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9619418024&itemId=28724325555&vendorItemId=95225872201&traceid=V0-153-aad41460a6101c29&clickBeacon=06cb1590-823b-11f1-bb45-573e1ee088bb%7E3&requestid=20260718085545360255016825&token=31850C%7CMIXED
2026-07-18,지마켓,1,G마켓,레노버 노트북 레노버 Thinkpad X13 메모리 32GB 윈도우11 슬림 노트북,Lenovo,,integrated,32GB,,,,,527140,527140,,https://link.gmarket.co.kr/gate/pcs?item-no=4618650265&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-18,지마켓,2,G마켓,삼성전자 삼성전자 갤럭시북4 엣지 NT750XQA-K02AB 16GB 512GB,삼성전자,,integrated,16GB,512GB,,,,1648310,1648310,,https://link.gmarket.co.kr/gate/pcs?item-no=4780542778&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-18,지마켓,3,G마켓,LG전자 LG그램북 15UD50U-GX5JK U5 가성비 노트북 OS미탑재 당일출고,LG전자,,integrated,,,,,,1143330,1143330,,https://link.gmarket.co.kr/gate/pcs?item-no=4635915313&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-18,지마켓,4,G마켓,레노버 레노버 V15 13세대 i5 아이디어패드 15.6형 i5 16GB 256GB 윈도우11 홈 (5세대),Lenovo,I5,integrated,16GB,256GB,,15.6형,,899000,899000,,https://link.gmarket.co.kr/gate/pcs?item-no=3947230834&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-18,지마켓,5,G마켓,삼성전자 갤럭시북4 NT750XGR-A71A 인텔 i7 FHD 15.6 대화면 인강용 재택근무 노트북,삼성전자,I7,integrated,,,,,,1448900,1448900,,https://link.gmarket.co.kr/gate/pcs?item-no=3639127422&sub-id=1003&service-code=10000003&lcd=100000002
