날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-07-04,쿠팡,1,쿠팡,"HP 2025 VICTUS 15 GAMING LAPTOP 15.6 라이젠9 라이젠 8000시리즈 지포스 RTX 4060, Mica Silver, 512GB, 16GB, Free DOS, 15-fb3001AX",HP,라이젠9,RTX 4060,512GB,,FreeDOS,,,1599000,1599000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8512549241&itemId=24641516609&vendorItemId=91652297692&traceid=V0-153-f07d5d4c9327f511&clickBeacon=a04203a0-773c-11f1-974f-d35d43d81281%7E3&requestid=20260704090929538134940181&token=31850C%7CMIXED
2026-07-04,쿠팡,2,쿠팡,"HP 2026 하이퍼엑스 오멘 15 라이젠5 라이젠 200 시리즈 지포스 RTX 5060, Shadow Black, 1TB, 24GB, WIN11 Home, 15-gb0042AX",HP,라이젠5,RTX 5060,24GB,1TB,WIN 11 HOME,,,1909000,1909000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9323115679&itemId=27774196210&vendorItemId=94734618598&traceid=V0-153-8560d66fcc3d9ee7&clickBeacon=a04203a0-773c-11f1-bc40-ff77327d326c%7E3&requestid=20260704090929538134940181&token=31850C%7CMIXED
2026-07-04,쿠팡,3,쿠팡,"HP 2026 오멘 15 라이젠5 라이젠 200 시리즈 지포스 RTX 5060, Shadow Black, 1TB, 24GB, Free DOS, 15-gb0044AX",HP,라이젠5,RTX 5060,24GB,1TB,FreeDOS,,,1829000,1829000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9323115679&itemId=27634210412&vendorItemId=94596989479&traceid=V0-153-8560d66fcc3d9ee7&clickBeacon=a04203a0-773c-11f1-8e6d-b66cc819dd1e%7E3&requestid=20260704090929538134940181&token=31850C%7CMIXED
2026-07-04,쿠팡,4,쿠팡,"고성능 노트북 16형350 IPS AMD A6 CPU 32GB 메모리 512GB SSD Win10 장착 대화면 멀티태스킹 가성비 인기 모델, 그레이, AMD, 512GB, 32GB, WIN10",Dell,,integrated,32GB,512GB,Windows,16형,,1200000,1200000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9583448714&itemId=28606967576&vendorItemId=95468985707&traceid=V0-153-914802683e9b0a31&clickBeacon=a04203a0-773c-11f1-86b1-233769c3c307%7E3&requestid=20260704090929538134940181&token=31850C%7CMIXED
2026-07-04,지마켓,1,G마켓,레노버 노트북 레노버 Thinkpad X13 메모리 32GB 윈도우11 슬림 노트북,Lenovo,,integrated,32GB,,,,,527140,527140,,https://link.gmarket.co.kr/gate/pcs?item-no=4618650265&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-04,지마켓,3,G마켓,레노버 레노버 V15 13세대 i5 아이디어패드 15.6형 혜택가 84만 i5 16GB 256GB 윈도우11 홈 (5세대),Lenovo,I5,integrated,16GB,256GB,,15.6형,,912900,912900,,https://link.gmarket.co.kr/gate/pcs?item-no=3947230834&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-04,지마켓,7,G마켓,에이수스 ASUS TUF A14 FA401UM-RG007 라이젠7-260/32GB/RTX5060 QHD 게이밍 노트북 겜트북,ASUS,라이젠7,RTX5060,32GB,,,,,2849000,2849000,,https://link.gmarket.co.kr/gate/pcs?item-no=4457738717&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-04,지마켓,9,G마켓,레노버 노트북 레노버 ThinkPad X13 Gen1 메모리 32GB SSD512GB Windows11 전용박스,Lenovo,,integrated,32GB,512GB,WIN 11 HOME,,,626400,626400,,https://link.gmarket.co.kr/gate/pcs?item-no=4618661624&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-04,지마켓,12,G마켓,애플 맥북프로 14 M1 Pro 8CPU 14GPU 16GB 스페이스 그레이 S,Apple,,integrated,16GB,,,,,1261000,1261000,,https://link.gmarket.co.kr/gate/pcs?item-no=4766918484&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-04,지마켓,14,G마켓,HP HP ENVY 15-J034TX i7 16G 윈10 게이밍 중고 노트북,HP,I7,integrated,,,,,,269660,269660,,https://link.gmarket.co.kr/gate/pcs?item-no=4756738177&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-04,지마켓,17,G마켓,기가바이트 GIGABYTE AERO X16 AI7LEA (스페이스 그레이),Gigabyte,,integrated,,,,,,2039000,2039000,,https://link.gmarket.co.kr/gate/pcs?item-no=4650668080&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-04,지마켓,18,G마켓,기가바이트 기가바이트 Gaming A16 3WHD 체감가 210만 라이젠 AMD R7 지포스 RTX5070 16GB 512GB QHD 게이밍 노트북,Gigabyte,,RTX5070,16GB,512GB,,,,2699920,2699920,,https://link.gmarket.co.kr/gate/pcs?item-no=4468443188&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-04,지마켓,21,G마켓,레노버 16인치 씽크패드 E16 Gen 1 i5-1335U미사용 리퍼 노트북,Lenovo,I5,integrated,,,,16인치,,799000,799000,,https://link.gmarket.co.kr/gate/pcs?item-no=4201636685&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-04,지마켓,22,G마켓,아수스 젠북 14 OLED UX3405MA 코어울트라7 16GB 512GB 13,ASUS,,integrated,16GB,512GB,,,,1193640,1193640,,https://link.gmarket.co.kr/gate/pcs?item-no=4784161893&sub-id=1003&service-code=10000003&lcd=100000002
