날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-07-11,쿠팡,1,쿠팡,"갤럭시북4 15.6, 코어I5 13세대, 가성비 노트북, 한컴오피스팩 동봉",삼성전자,,integrated,,,,,,1299000,1299000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=7991194687&itemId=22212816615&vendorItemId=89258837406&traceid=V0-153-77b933ac65077d2a&requestid=20260711090224597220794765&token=31850C%7CMIXED
2026-07-11,쿠팡,2,쿠팡,"LG전자 2026 그램 AI 14 코어 Ultra5, 에센스 화이트, 14ZB90S-GA5PK, 512GB, 16GB, WIN11 Home",LG전자,,integrated,512GB,,WIN 11 HOME,,,2139000,2139000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9587163867&itemId=28618637933&vendorItemId=95561904197&traceid=V0-153-5fe5805da95968fa&clickBeacon=cbde2d20-7cbb-11f1-a80d-62f4895db87e%7E3&requestid=20260711090224597220794765&token=31850C%7CMIXED
2026-07-11,쿠팡,3,쿠팡,"JUMPER 노트북 2-in-1 16인치 접이식 터치스크린 N5095 프로세서 지문인식 WiFi6 Windows 11 home, 회색, J1 NY02, 128GB, 4GB, WIN11 Home",,N5095,integrated,128GB,,WIN 11 HOME,16인치,,453000,453000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9593936717&itemId=28644193970&vendorItemId=94932042153&traceid=V0-153-1e6110414280ce3d&clickBeacon=cbde2d20-7cbb-11f1-8673-3eacf1e7c61a%7E3&requestid=20260711090224597220794765&token=31850C%7CMIXED
2026-07-11,쿠팡,4,쿠팡,"JUMPER 2026 노트북 2-in-1 15.6인치 접이식 터치스크린 i3 프로세서 8GB RAM 지문인식 WiFi6 Windows 11 home, 검정색, JUMPER J1 SEUN2011, 128GB, 8GB, WIN11 Home",,I3,integrated,8GB,128GB,WIN 11 HOME,15.6인치,,583700,583700,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9619418024&itemId=28724325555&vendorItemId=95225872201&traceid=V0-153-aad41460a6101c29&clickBeacon=cbde2d20-7cbb-11f1-8e85-740a288bc544%7E3&requestid=20260711090224597220794765&token=31850C%7CMIXED
2026-07-11,쿠팡,5,쿠팡,"LG 그램15 코어i5 FHD 윈도우11 화이트 (코어i5-1135G7/16G/SSD512G 듀얼 [SSD256G + SSD256G]/15.6"" IPS FHD/윈11), GRAM15, WIN11 Home, 16GB, 512GB, 화이트",LG전자,,integrated,16GB,512GB,WIN 11 HOME,"15.6""",,898000,898000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9608130050&itemId=28684284346&vendorItemId=95625818567&traceid=V0-153-78994b7f297defa7&clickBeacon=cbde2d20-7cbb-11f1-9f01-a6bd5d0a0e76%7E3&requestid=20260711090224597220794765&token=31850C%7CMIXED
2026-07-11,쿠팡,6,쿠팡,레노버 2025 LOQ 15AHP10 라이젠7 라이젠 200 시리즈 지포스 RTX 5060,Lenovo,라이젠7,RTX 5060,,,,,,1509000,1509000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9018633339&itemId=26440741094&vendorItemId=93416362417&traceid=V0-153-027a624ccd4841b1&requestid=20260711090224597220794765&token=31850C%7CMIXED
2026-07-11,쿠팡,7,쿠팡,베이직스 2024 베이직북 14 N-시리즈,Basics,,integrated,,,,,,563000,563000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9128826497&itemId=26858848404&vendorItemId=92984476751&traceid=V0-153-2bd89178e148d112&requestid=20260711090224597220794765&token=31850C%7CMIXED
2026-07-11,쿠팡,8,쿠팡,LG 울트라PC 15U560 6세대 코어i5 8GB SSD128GB Win10,LG전자,,integrated,8GB,128GB,Windows,,,229000,229000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=6431886792&itemId=13884262431&vendorItemId=93588416244&traceid=V0-153-eaa87aceb7dd441e&requestid=20260711090224597220794765&token=31850C%7CMIXED
2026-07-11,쿠팡,9,쿠팡,LG전자 2026 그램북 AI 15 코어 Ultra5,LG전자,,integrated,,,,,,994000,994000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9281527133&itemId=27479813418&vendorItemId=94444985720&traceid=V0-153-eb916b4118011bf9&requestid=20260711090224597220794765&token=31850C%7CMIXED
2026-07-11,쿠팡,10,쿠팡,LG 8세대 GRAM 14Z980 코어i5 16GB SSD256GB Win10,LG전자,,integrated,16GB,256GB,Windows,,,498000,498000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=6458262639&itemId=19245692570&vendorItemId=92811603530&traceid=V0-153-6d6d499e0b26305e&requestid=20260711090224597220794765&token=31850C%7CMIXED
2026-07-11,지마켓,1,G마켓,레노버 노트북 레노버 Thinkpad X13 메모리 32GB 윈도우11 슬림 노트북,Lenovo,,integrated,32GB,,,,,527140,527140,,https://link.gmarket.co.kr/gate/pcs?item-no=4618650265&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,2,G마켓,삼성전자 갤럭시북4 NT750XGR-A71A 인텔 i7 FHD 15.6 대화면 인강용 재택근무 노트북,삼성전자,I7,integrated,,,,,,1448900,1448900,,https://link.gmarket.co.kr/gate/pcs?item-no=3639127422&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,3,G마켓,LG전자 LG전자 LG그램 14ZD95U-GX56K RAM 16GB 256GB,LG전자,,integrated,16GB,256GB,,,,2876680,2876680,,https://link.gmarket.co.kr/gate/pcs?item-no=4686943549&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,4,G마켓,레노버 레노버 V15 13세대 i5 아이디어패드 15.6형 혜택가 84만 i5 16GB 256GB 윈도우11 홈 (5세대),Lenovo,I5,integrated,16GB,256GB,,15.6형,,912900,912900,,https://link.gmarket.co.kr/gate/pcs?item-no=3947230834&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,5,G마켓,에이수스 ASUS TUF A14 FA401UM-RG007 라이젠7-260/32GB/RTX5060 QHD 게이밍 노트북 겜트북,ASUS,라이젠7,RTX5060,32GB,,,,,2849000,2849000,,https://link.gmarket.co.kr/gate/pcs?item-no=4457738717&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,6,G마켓,LG전자 LG그램북 15UD50U-GX5JK 최종 94만 U5 가성비 노트북 OS미탑재 당일출고,LG전자,,integrated,,,,,,1143330,1143330,,https://link.gmarket.co.kr/gate/pcs?item-no=4635915313&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,7,G마켓,삼성전자 삼성 갤럭시북5 NT751XHD-K01/B RAM16G SSD256 WIN11 Y,삼성전자,,integrated,,,WIN 11 HOME,,,1567500,1567500,,https://link.gmarket.co.kr/gate/pcs?item-no=4745167192&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,8,G마켓,LG전자 노트북 LG gram i5 11세대 그램 노트북 14ZB95N 14형 SSD512G PD충전 윈도우11,LG전자,I5,integrated,,,,14형,,685730,685730,,https://link.gmarket.co.kr/gate/pcs?item-no=2623547405&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,9,G마켓,HP HP ENVY 15-J034TX i7 16G 윈10 게이밍 중고 노트북,HP,I7,integrated,,,,,,269660,269660,,https://link.gmarket.co.kr/gate/pcs?item-no=4756738177&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,10,G마켓,레노버 노트북 씽크패드 T460s 6세대 8G 256G 흰멍 커버금,Lenovo,,integrated,,,,,,181120,181120,,https://link.gmarket.co.kr/gate/pcs?item-no=3506276402&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,11,G마켓,삼성전자 삼성전자 갤럭시북4 엣지 NT750XQA-K02AB 16GB 512GB,삼성전자,,integrated,16GB,512GB,,,,1648850,1648850,,https://link.gmarket.co.kr/gate/pcs?item-no=4780542778&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,12,G마켓,LG전자 LG 그램15 15Z95N 11세대 i5 8G NVME256G 윈10,LG전자,I5,integrated,,,,,,632100,632100,,https://link.gmarket.co.kr/gate/pcs?item-no=3725509826&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,13,G마켓,삼성전자 삼성 NT550XDA-K14AW RAM16GB SSD1TB교체/정품,삼성전자,,integrated,16GB,1TB,,,,1170570,1170570,,https://link.gmarket.co.kr/gate/pcs?item-no=3120781617&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,14,G마켓,LG전자 LG그램북 15UD50U-GX5KK U5 16GB 256GB,LG전자,,integrated,16GB,256GB,,,,1235470,1235470,,https://link.gmarket.co.kr/gate/pcs?item-no=4686136526&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,15,G마켓,삼성전자 삼성전자 갤럭시북6 프로 NT960XJG-KD72G 그레이 무료배송,삼성전자,,integrated,,,,,,3978840,3978840,,https://link.gmarket.co.kr/gate/pcs?item-no=4754894294&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,16,G마켓,레노버 레노버 씽크패드 X1 카본 i5 8GB 사무용 인강용 중고 노트북,Lenovo,I5,integrated,8GB,,,,,307720,307720,,https://link.gmarket.co.kr/gate/pcs?item-no=4355119391&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,17,G마켓,기가바이트 GIGABYTE AERO X16 AI7LEA (스페이스 그레이),Gigabyte,,integrated,,,,,,2083330,2083330,,https://link.gmarket.co.kr/gate/pcs?item-no=4650668080&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,18,G마켓,LG전자 LG 그램 프로 16ZD90U-GX56K 인텔 팬서레이크 AI 노트북,LG전자,,integrated,,,,,,2335930,2335930,,https://link.gmarket.co.kr/gate/pcs?item-no=4646719847&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,19,G마켓,LG전자 LG 울트라PC 15U560 6세대 i5 8G SSD128+500G Win10,LG전자,I5,integrated,,,Windows,,,244020,244020,,https://link.gmarket.co.kr/gate/pcs?item-no=1692204365&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-11,지마켓,20,G마켓,삼성전자 삼성 갤럭시북 프로360 5G NT935QDB-KC71S 정품,삼성전자,,integrated,,,,,,2579760,2579760,,https://link.gmarket.co.kr/gate/pcs?item-no=3120536062&sub-id=1003&service-code=10000003&lcd=100000002
