날짜,마켓,순위,판매처,상품명(모델명),제조사(브랜드),CPU,VGA,메모리,SSD,OS,디스플레이,정상가,판매가,혜택가,쿠폰/카드혜택,URL
2026-07-12,쿠팡,1,쿠팡,"[풀박스패키지] LG그램 코어i5 +무상AS 1년(전시몰닷컴), 화이트, 14ZB95N_NP, 512GB, 16GB, WIN11 Pro",LG전자,,integrated,512GB,,WIN 11 HOME,,,999000,999000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9638752356&itemId=28798268203&vendorItemId=94827088860&traceid=V0-153-d1864c0a3f1da837&clickBeacon=b3ea2e20-7d84-11f1-a31b-955aeb5aeec7%7E3&requestid=20260712090033259245583976&token=31850C%7CMIXED
2026-07-12,쿠팡,2,쿠팡,"베이직스 2026 베이직북 16 N 시리즈, Basic White, 512GB, 16GB, WIN11 Home, BB1624FW-S",Basics,,integrated,512GB,,WIN 11 HOME,,,857000,857000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=8416720242&itemId=24652511081&vendorItemId=94724509349&traceid=V0-153-72062d0cfe57ed0e&clickBeacon=b3ea5530-7d84-11f1-ae83-9cef8a02873a%7E3&requestid=20260712090033259245583976&token=31850C%7CMIXED
2026-07-12,쿠팡,3,쿠팡,"베이직스 2024 베이직북 14 N-시리즈, BasicWhite, 256GB, 8GB, WIN11 Home, BB1422SS-N",Basics,,integrated,256GB,,WIN 11 HOME,,,568000,568000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9128826497&itemId=26858848404&vendorItemId=92984476751&traceid=V0-153-2bd89178e148d112&clickBeacon=b3ea5530-7d84-11f1-afa8-2eee628035e0%7E3&requestid=20260712090033259245583976&token=31850C%7CMIXED
2026-07-12,쿠팡,4,쿠팡,"LG 그램15 코어i5 FHD 윈도우11 화이트 (코어i5-1135G7/16G/SSD512G 듀얼 [SSD256G + SSD256G]/15.6"" IPS FHD/윈11), GRAM15, WIN11 Home, 16GB, 512GB, 화이트",LG전자,,integrated,16GB,512GB,WIN 11 HOME,"15.6""",,898000,898000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9608130050&itemId=28684284346&vendorItemId=95625818567&traceid=V0-153-78994b7f297defa7&clickBeacon=b3ea5530-7d84-11f1-98ed-166b15d458ce%7E3&requestid=20260712090033259245583976&token=31850C%7CMIXED
2026-07-12,쿠팡,5,쿠팡,"노트북 15.6인치 화면 대형 프로세서N5095 12GB RAM 512GB SSD 사무용 WIN11 home, 검은색, ESDYS1033, 512GB, 12GB, WIN11 Home",,,integrated,12GB,512GB,WIN 11 HOME,15.6인치,,503000,503000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9553159339&itemId=28474117655&vendorItemId=95424352795&traceid=V0-153-9b19a79aa4a68ecc&clickBeacon=b3ea5530-7d84-11f1-bf2c-5251ff242280%7E3&requestid=20260712090033259245583976&token=31850C%7CMIXED
2026-07-12,쿠팡,6,쿠팡,LG 울트라PC 15U560 6세대 i5 지포스940M 15.6인치 윈도우10,LG전자,I5,integrated,,,,15.6인치,,298000,298000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=6359373947&itemId=13418949659&vendorItemId=95217544143&traceid=V0-153-7d8369939570924a&requestid=20260712090033259245583976&token=31850C%7CMIXED
2026-07-12,쿠팡,7,쿠팡,LG 2020 그램15 15ZB995 10세대 i5 RAM 16GB SSD탑재 윈도우11설치 15인치 중고노트북,LG전자,I5,integrated,16GB,,,15인치,,730000,730000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9385445604&itemId=27862969553&vendorItemId=95174371235&traceid=V0-153-6520cdb84378311d&requestid=20260712090033259245583976&token=31850C%7CMIXED
2026-07-12,쿠팡,8,쿠팡,LG 울트라PC 15U560 6세대 코어i5 8GB SSD128GB Win10,LG전자,,integrated,8GB,128GB,Windows,,,248990,248990,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=6431886792&itemId=13884262431&vendorItemId=86251209576&traceid=V0-153-eaa87aceb7dd441e&requestid=20260712090033259245583976&token=31850C%7CMIXED
2026-07-12,쿠팡,9,쿠팡,LG 다재다능한 성능 11세대 LG 울트라북 PC 15U50P (16G/256G),LG전자,,integrated,,,,,,509000,509000,무료배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9128830290&itemId=26858851627&vendorItemId=93246856271&traceid=V0-153-9cb7483624d72eba&requestid=20260712090033259245583976&token=31850C%7CMIXED
2026-07-12,쿠팡,10,쿠팡,LG전자 2026 그램북 AI 15 코어 Ultra5,LG전자,,integrated,,,,,,994000,994000,로켓배송,https://link.coupang.com/re/AFFSDP?lptag=AF1553695&pageKey=9281527133&itemId=27479813418&vendorItemId=94444985720&traceid=V0-153-eb916b4118011bf9&requestid=20260712090033259245583976&token=31850C%7CMIXED
2026-07-12,지마켓,1,G마켓,레노버 노트북 레노버 Thinkpad X13 메모리 32GB 윈도우11 슬림 노트북,Lenovo,,integrated,32GB,,,,,527140,527140,,https://link.gmarket.co.kr/gate/pcs?item-no=4618650265&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,2,G마켓,삼성전자 갤럭시북4 NT750XGR-A71A 인텔 i7 FHD 15.6 대화면 인강용 재택근무 노트북,삼성전자,I7,integrated,,,,,,1448900,1448900,,https://link.gmarket.co.kr/gate/pcs?item-no=3639127422&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,3,G마켓,LG전자 LG그램북 15UD50U-GX5JK 최종 94만 U5 가성비 노트북 OS미탑재 당일출고,LG전자,,integrated,,,,,,1143330,1143330,,https://link.gmarket.co.kr/gate/pcs?item-no=4635915313&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,4,G마켓,LG전자 LG전자 LG그램 14ZD95U-GX56K RAM 16GB 256GB,LG전자,,integrated,16GB,256GB,,,,2876680,2876680,,https://link.gmarket.co.kr/gate/pcs?item-no=4686943549&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,5,G마켓,에이수스 ASUS TUF A14 FA401UM-RG007 라이젠7-260/32GB/RTX5060 QHD 게이밍 노트북 겜트북,ASUS,라이젠7,RTX5060,32GB,,,,,2849000,2849000,,https://link.gmarket.co.kr/gate/pcs?item-no=4457738717&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,6,G마켓,레노버 레노버 V15 13세대 i5 아이디어패드 15.6형 혜택가 84만 i5 16GB 256GB 윈도우11 홈 (5세대),Lenovo,I5,integrated,16GB,256GB,,15.6형,,912900,912900,,https://link.gmarket.co.kr/gate/pcs?item-no=3947230834&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,7,G마켓,삼성전자 삼성 갤럭시북5 NT751XHD-K01/B RAM16G SSD256 WIN11 Y,삼성전자,,integrated,,,WIN 11 HOME,,,1567500,1567500,,https://link.gmarket.co.kr/gate/pcs?item-no=4745167192&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,8,G마켓,삼성전자 삼성 갤럭시북 S NT767XCL-KC58S 정품,삼성전자,,integrated,,,,,,1332310,1332310,,https://link.gmarket.co.kr/gate/pcs?item-no=3120654364&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,9,G마켓,LG전자 LG 그램15 15Z95N 11세대 i5 8G NVME256G 윈10,LG전자,I5,integrated,,,,,,632100,632100,,https://link.gmarket.co.kr/gate/pcs?item-no=3725509826&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,10,G마켓,LG전자 노트북 LG gram i5 11세대 그램 노트북 14ZB95N 14형 SSD512G PD충전 윈도우11,LG전자,I5,integrated,,,,14형,,685730,685730,,https://link.gmarket.co.kr/gate/pcs?item-no=2623547405&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,11,G마켓,삼성전자 삼성 NT550XDA-K14AG RAM16GB SSD1TB교체/정품,삼성전자,,integrated,16GB,1TB,,,,1027570,1027570,,https://link.gmarket.co.kr/gate/pcs?item-no=3120782224&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,12,G마켓,삼성전자 삼성 NT550XDA-K14AW RAM16GB SSD1TB교체/정품,삼성전자,,integrated,16GB,1TB,,,,1171770,1171770,,https://link.gmarket.co.kr/gate/pcs?item-no=3120781617&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,13,G마켓,레노버 노트북 씽크패드 T460s 6세대 8G 256G 흰멍 커버금,Lenovo,,integrated,,,,,,181120,181120,,https://link.gmarket.co.kr/gate/pcs?item-no=3506276402&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,14,G마켓,HP HP ENVY 15-J034TX i7 16G 윈10 게이밍 중고 노트북,HP,I7,integrated,,,,,,266880,266880,,https://link.gmarket.co.kr/gate/pcs?item-no=4756738177&sub-id=1003&service-code=10000003&lcd=100000002
2026-07-12,지마켓,15,G마켓,삼성전자 삼성전자 갤럭시북4 엣지 NT750XQA-K02AB 16GB 512GB,삼성전자,,integrated,16GB,512GB,,,,1648770,1648770,,https://link.gmarket.co.kr/gate/pcs?item-no=4780542778&sub-id=1003&service-code=10000003&lcd=100000002
